sample,super_pop,PC1,PC2,afr_score
HG02816,AFR,32.00455891543133,-3.6219559214221273,1.0
HG02817,AFR,32.841232934102564,-3.082755486910934,1.0
HG02819,AFR,31.01099957811537,-3.5336768263455145,1.0
HG02820,AFR,28.742326968282104,-4.509403732416116,1.0
HG02836,AFR,30.928075681166785,-3.2515447909407142,1.0
HG02837,AFR,27.999571454146686,-0.94520621953376,0.9811918613678655
HG02839,AFR,30.45520534298522,-3.9478920791651437,1.0
HG02840,AFR,30.8678490103852,-4.927014250970596,1.0
HG02851,AFR,31.19457463899439,-0.4352256277665204,1.0
HG02852,AFR,32.87310185910285,-2.2962554357357363,1.0
HG02854,AFR,27.532680804943944,-3.120758485283295,0.9969644668905938
HG02855,AFR,26.90656690644582,-1.9889042226389262,0.9643434110366654
HG02860,AFR,29.308203323531664,-1.4368326323237126,1.0
HG02861,AFR,29.211917458241725,-0.28132214621362567,1.0
HG02870,AFR,36.11855405683216,-6.705049254092384,1.0
HG02878,AFR,30.691992487548934,-0.39900973580411386,1.0
HG02879,AFR,27.396625293222584,-2.5478960690921633,0.983017816639711
HG02881,AFR,28.509355058834757,-3.8223951291300797,1.0
HG02882,AFR,30.163248430014118,-2.809323322101431,1.0
HG02884,AFR,28.651829282369658,-1.9590412472349807,1.0
HG02885,AFR,24.780214573550094,-4.620061981895218,0.9468615280849505
HG02887,AFR,30.366611081409197,-3.6047101746301218,1.0
HG02888,AFR,33.696277242176535,-3.1051042782891995,1.0
HG02890,AFR,24.072352709031435,-2.4081575193303335,0.9064446450266597
HG02891,AFR,29.88669717729379,-1.1816294148290412,1.0
HG02895,AFR,35.622347138470715,-2.17090893493226,1.0
HG02896,AFR,31.951849385262648,-1.641909678586532,1.0
HG02922,AFR,31.31068864327866,-3.415157395329867,1.0
HG02923,AFR,30.318427815300016,-2.2345844219386084,1.0
HG02938,AFR,31.030173879063305,-2.8679842180364328,1.0
HG02941,AFR,29.87632510903133,-3.910679771332872,1.0
HG02943,AFR,33.117085878473645,-1.1768708299865742,1.0
HG02944,AFR,30.604841247452732,-4.273858956510362,1.0
HG02946,AFR,31.05841706188444,-3.675057483154984,1.0
HG02947,AFR,27.386600802735686,-0.5793634813783515,0.9684740482778915
HG02952,AFR,28.444117256470303,-1.0846395673043316,1.0
HG02953,AFR,25.7120766177217,-2.7817214662285936,0.9449378398976693
HG02968,AFR,31.656946794191583,-1.5148440852183287,1.0
HG02970,AFR,28.49664159850591,-3.3998769508365907,1.0
HG02971,AFR,29.703171184908314,-1.5085496122777171,1.0
HG02973,AFR,26.773331099569905,-1.36571128713614,0.963443973779968
HG02974,AFR,32.23497176272355,-3.461747294953502,1.0
HG02976,AFR,32.23336478192854,-2.352460266483172,1.0
HG02977,AFR,26.41437514861364,-4.3138077316611785,0.9640156720005029
HG02979,AFR,29.86710079692938,-0.6371439216633659,1.0
HG02981,AFR,29.31196952965211,-4.321752288720032,1.0
HG02982,AFR,25.287735601469457,-1.664154663863961,0.9283856134063231
HG02983,AFR,29.073657470588113,1.095206663743627,0.991726172329661
HG03006,SAS,-12.865160155088116,1.6542948043366894,0.054599754833591974
HG03007,SAS,-10.98634585986418,1.4692294205323453,0.09944825540952172
HG03009,SAS,-11.1844294566133,3.1947452479631324,0.08199772186456109
HG03012,SAS,-11.685248388596015,-0.4102946311188865,0.09117879645211092
HG03015,SAS,-10.190560788083685,4.721533354288065,0.10052645906356737
HG03016,SAS,-8.666209456147481,2.334605495376622,0.14466638578120114
HG03018,SAS,-9.234458608514293,4.408685058131746,0.10551813166275938
HG03019,SAS,-12.255965874216084,0.5746805828909652,0.0739385856191699
HG03021,SAS,-7.043090214783674,6.404241593434264,0.15873242116245945
HG03022,SAS,-7.92708949629494,4.735541542183049,0.136545383066154
HG03024,AFR,33.47184388371563,-1.0982154869583722,1.0
HG03025,AFR,27.896758742481037,-1.384905954572918,0.9825538224556521
HG03027,AFR,31.517723508625757,-2.95555194873939,1.0
HG03028,AFR,32.48129497913541,-3.3935070855250253,1.0
HG03039,AFR,32.391739136767285,-4.229051499924883,1.0
HG03040,AFR,25.66236236040695,-0.29640143975460204,0.9275761205624867
HG03045,AFR,31.111118087395567,-2.348516422527571,1.0
HG03046,AFR,31.77567711694538,-0.7981231605046101,1.0
HG03048,AFR,28.310731697334273,-0.8080253027286477,0.9922912426985802
HG03049,AFR,27.756859664162636,-2.9637156718788895,0.986673497505576
HG03052,AFR,28.432519852492412,-3.625238409575596,1.0
